Abraham Lincoln,1
George Washington,2
Franklin D. Roosevelt,3
Theodore Roosevelt,4
Dwight D. Eisenhower,5
Harry S. Truman,6
Thomas Jefferson,7
John F. Kennedy,8
Ronald Reagan,9
Lyndon Baines Johnson,10
Woodrow Wilson,11
Barack Obama,12
James Monroe,13
James K. Polk,14
Bill Clinton,15
William McKinley Jr.,16
James Madison,17
Andrew Jackson,18
John Adams,19
George H. W. Bush,20
John Quincy Adams,21
Ulysses S. Grant,22
Grover Cleveland,23
William H. Taft,24
Gerald R. Ford Jr.,25
Jimmy Carter,26
Calvin Coolidge,27
Richard M. Nixon,28
James A. Garfield,29
Benjamin Harrison,30
Zachary Taylor,31
Rutherford B. Hayes,32
George W. Bush,33
Martin Van Buren,34
Chester Arthur,35
Herbert Hoover,36
Millard Fillmore,37
William Henry Harrison,38
John Tyler,39
Warren G. Harding,40
Franklin Pierce,41
Andrew Johnson,42
James Buchanan,43
